Id,firstName,lastName,salary,managerId
1,Temple,Dyet,1315200,749
2,Vivian,Bendelow,631100,547
3,Jillayne,Skechley,443700,523
4,Athene,Glaysher,1551300,684
5,Rosette,Cosgrive,1641000,262
6,Benedikta,Grunnell,235200,300
7,Cari,Lammenga,4450800,220
8,Norina,Medd,1365000,358
9,Egor,Julyan,2649100,935
10,Levy,Baxendale,1265000,118
11,Adore,MacIlory,4112700,462
12,Bertha,Woolliams,2967000,960
13,Fidelity,Adamowitz,2019600,810
14,Nariko,Escreet,2396200,642
15,Rooney,Bramont,4774500,754
16,Britni,Sones,1470800,151
17,Tanny,Zavattero,2948900,402
18,Maria,Pitkaithly,1326000,106
19,Car,Veasey,3963700,629
20,Chris,Loudiane,2222300,637
21,Emory,Adey,4467400,195
22,Connie,Trevna,1314300,404
23,Val,Barrie,501100,404
24,Roma,Millson,4724600,567
25,Oliver,Cottill,3385600,857
26,Daria,Brendel,498000,371
27,Gael,Armatidge,1160100,227
28,Kattie,Sympson,1396200,492
29,Guendolen,Studde,4519300,614
30,Aeriela,Elger,2201200,768
31,Maximilien,Pikhno,3160400,224
32,Vincenz,Babin,3585200,190
33,Jephthah,Egar,2052800,899
34,Emmalynn,Livermore,3376800,443
35,Allyn,Brissard,806100,717
36,Padget,Duchateau,3839700,742
37,Sephira,Cretney,4600500,334
38,Tailor,Stockoe,4336300,808
39,Lula,Stranahan,3113300,537
40,Yard,Gamlin,1701200,615
41,Leona,Le Pruvost,148800,622
42,Sigismond,Bernadot,3719800,330
43,Kearney,Chate,4959800,857
44,Raul,Eversfield,3993900,80
45,Godfrey,Eliasson,282200,765
46,Ashlan,Joubert,466000,810
47,Othilie,Onyon,1255800,412
48,Morganne,Vasler,113600,624
49,Korie,Hitscher,1315000,86
50,Yoshiko,Coulthard,4325000,382
51,Jannelle,McEnery,371200,897
52,Hamlen,Rappport,3510600,743
53,Fiona,Glowacz,309800,110
54,Win,Richardot,1156600,348
55,Loni,Fernanando,2477500,20
56,Worthington,Cullivan,2354000,647
57,Tadio,Shaddick,3508100,504
58,Berenice,De Malchar,3833400,496
59,Issiah,Bernier,3424100,103
60,Freddy,Itskovitz,899100,942
61,Georgie,Driscoll,3889100,846
62,Farlee,Dockray,2609700,301
63,Gottfried,Gradwell,1527000,734
64,Dorris,Bower,4842300,412
65,Perceval,Skeete,838600,513
66,Maridel,Trent,3324300,861
67,Catina,Fordyce,2951900,536
68,Shelby,Rushbury,4531100,384
69,Gearard,Woolsey,3962100,361
70,Siffre,Stanaway,4236000,157
71,Onfre,Lincke,2601700,105
72,Daniella,Absalom,2214100,184
73,Kitty,Langeley,1221200,377
74,Rebe,Ferrar,1160800,818
75,Paige,Eble,1613900,320
76,Lucien,Gibbonson,3396100,842
77,Alyosha,Domenichelli,2104700,426
78,Tammi,O'Nions,2844200,501
79,Ladonna,Zanussii,1338300,246
80,Rochette,Fodden,1602600,238
81,Wildon,Molesworth,1057700,721
82,Ginnifer,Warren,4103700,402
83,Edita,Jarmain,1555700,800
84,Aaren,Kempshall,4458800,954
85,Lammond,Pochet,3957500,789
86,Mortimer,Thridgould,4166100,292
87,Christabella,Hauxby,2357500,92
88,Darb,Isacsson,1574900,614
89,Trace,Andreuzzi,4047300,578
90,Alleen,Hadcock,348900,80
91,Gerardo,Rosser,76300,249
92,Danni,Meneer,2433700,637
93,Florida,Dorcey,2150300,189
94,Llywellyn,Brabbs,3562600,535
95,Eadie,Billingham,3369700,646
96,Marrilee,Portugal,1389600,514
97,Yvor,Vaughten,789100,857
98,Pauly,Synke,1548800,497
